Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_7,VGG_NO_LEARN_TOMER,1,,0.708333333,0.701645022,0.069438951,0.682997558,0.91379872,0.740805436,41.14698744,0.206423283
cifar_7,VGG_NO_LEARN_TOMER,2,,0.6875,0.654151404,0.078413592,0.666666667,0.907149161,0.736597273,38.3250134,0.284819365
cifar_7,VGG_NO_LEARN_TOMER,3,,0.645833333,0.644422799,0.08541067,0.649069264,0.898505041,0.719770811,50.0527823,0.196295977
cifar_7,VGG_NO_LEARN_TOMER,4,,0.729166667,0.758888889,0.064957446,0.730555556,0.947597118,0.860476094,40.24314952,0.294353962
cifar_7,VGG_NO_LEARN_TOMER,5,,0.770833333,0.761025641,0.057108155,0.726200466,0.94007733,0.832592847,35.28544259,0.196320057
cifar_7,VGG_NO_LEARN_TOMER,6,,0.729166667,0.768787879,0.069862739,0.725576923,0.954806373,0.898712386,26.95896864,0.391288042
cifar_7,VGG_NO_LEARN_TOMER,7,,0.75,0.753146853,0.061726562,0.786136364,0.945075275,0.830443517,50.93908024,0.48038435
cifar_7,VGG_NO_LEARN_TOMER,8,,0.729166667,0.744675325,0.067265926,0.719452214,0.919317299,0.747166676,34.48754549,0.238127708
cifar_7,VGG_NO_LEARN_TOMER,9,,0.770833333,0.778888889,0.055491741,0.764090909,0.943936924,0.874557352,44.03798676,0.241277933
cifar_7,VGG_NO_LEARN_TOMER,10,,0.791666667,0.762393162,0.051302294,0.780512821,0.944950303,0.828553719,40.69558334,0.196458817
