Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_10,VGG_NO_LEARN_TOMER,1,,0.708333333,0.725064935,0.073705479,0.688571429,0.955528691,0.856493261,28.42935705,0.194301844
cifar_10,VGG_NO_LEARN_TOMER,2,,0.729166667,0.76978022,0.065019804,0.768636364,0.933613568,0.806456418,34.06094861,0.377663851
cifar_10,VGG_NO_LEARN_TOMER,3,,0.791666667,0.790898268,0.050826965,0.785714286,0.967901253,0.903003397,61.85294127,0.302538633
cifar_10,VGG_NO_LEARN_TOMER,4,,0.895833333,0.905858586,0.027405027,0.911666667,0.97995394,0.936582773,55.25843954,0.202736616
cifar_10,VGG_NO_LEARN_TOMER,5,,0.6875,0.746324786,0.076532357,0.699350649,0.926925005,0.819602569,21.79328299,0.197187185
cifar_10,VGG_NO_LEARN_TOMER,6,,0.791666667,0.828018648,0.0459023,0.801111111,0.980530115,0.899063531,32.59420395,0.395635605
cifar_10,VGG_NO_LEARN_TOMER,7,,0.666666667,0.67024087,0.086587467,0.690583926,0.907798948,0.77139868,21.86663246,0.216116905
cifar_10,VGG_NO_LEARN_TOMER,8,,0.770833333,0.721645022,0.05728137,0.753333333,0.952550544,0.837528756,35.07761025,0.438250303
cifar_10,VGG_NO_LEARN_TOMER,9,,0.854166667,0.856666667,0.035590915,0.83974026,0.963361553,0.912008041,52.73494053,0.292042494
cifar_10,VGG_NO_LEARN_TOMER,10,,0.75,0.757564103,0.063566609,0.782783883,0.960468814,0.889393354,25.26354837,0.288087368
