Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_6,VGG_NO_LEARN_TOMER,1,,0.708333333,0.715367965,0.073198631,0.684358974,0.940284996,0.790533852,43.1458137,0.249808073
cifar_6,VGG_NO_LEARN_TOMER,2,,0.6875,0.697680098,0.078126508,0.693549784,0.908335716,0.806306158,52.20028138,0.238966703
cifar_6,VGG_NO_LEARN_TOMER,3,,0.6875,0.683852814,0.075063907,0.697948718,0.890868942,0.713574529,35.40102959,0.377988577
cifar_6,VGG_NO_LEARN_TOMER,4,,0.666666667,0.686464646,0.08163661,0.696978022,0.886911215,0.731786112,49.66422892,0.258786917
cifar_6,VGG_NO_LEARN_TOMER,5,,0.770833333,0.763418803,0.058205771,0.764491064,0.954226806,0.849994701,35.97645926,0.198427916
cifar_6,VGG_NO_LEARN_TOMER,6,,0.708333333,0.665664336,0.074926977,0.772727273,0.924267815,0.786165281,39.66976929,0.196347237
cifar_6,VGG_NO_LEARN_TOMER,7,,0.729166667,0.746309246,0.066561727,0.736883117,0.921946492,0.785596379,40.94364858,0.194273472
cifar_6,VGG_NO_LEARN_TOMER,8,,0.6875,0.727186147,0.075857214,0.689901765,0.936020602,0.81233844,51.80604434,0.294686317
cifar_6,VGG_NO_LEARN_TOMER,9,,0.708333333,0.737777778,0.068626097,0.751341991,0.942258462,0.837876574,35.68652606,0.239979744
cifar_6,VGG_NO_LEARN_TOMER,10,,0.875,0.881623932,0.030391363,0.876479076,0.977473545,0.93281572,38.2928009,0.487765312
