Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_9,VGG_NO_LEARN_TOMER,1,,0.708333333,0.653160173,0.074531338,0.662380952,0.90499689,0.706124981,17.4347291,0.198692322
cifar_9,VGG_NO_LEARN_TOMER,2,,0.75,0.728449328,0.065201763,0.786315789,0.939979079,0.787035024,37.79254246,0.203336716
cifar_9,VGG_NO_LEARN_TOMER,3,,0.604166667,0.646883117,0.095370383,0.609047619,0.898682698,0.751263623,32.71397209,0.198736429
cifar_9,VGG_NO_LEARN_TOMER,4,,0.6875,0.663636364,0.079818428,0.69047619,0.898217613,0.75253791,36.93726373,0.290288687
cifar_9,VGG_NO_LEARN_TOMER,5,,0.6875,0.665299145,0.078830409,0.689230769,0.926852173,0.769788195,54.78850651,0.207426071
cifar_9,VGG_NO_LEARN_TOMER,6,,0.625,0.700559441,0.09103288,0.633095238,0.91996363,0.8367837,34.63249063,0.387659311
cifar_9,VGG_NO_LEARN_TOMER,7,,0.604166667,0.612665113,0.094945055,0.672008547,0.90005671,0.648629135,28.3001833,0.219809294
cifar_9,VGG_NO_LEARN_TOMER,8,,0.645833333,0.705367965,0.08569795,0.671111111,0.920947839,0.734093134,41.62426519,0.269020796
cifar_9,VGG_NO_LEARN_TOMER,9,,0.6875,0.687777778,0.080562094,0.721424394,0.909060239,0.746609163,47.58809233,0.206508398
cifar_9,VGG_NO_LEARN_TOMER,10,,0.708333333,0.697564103,0.072218045,0.735897436,0.951768979,0.846807478,58.36807442,0.246038675
