Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly1,VGG_NO_LEARN_TOMER,1,,0.805555556,0.812857143,0.046328671,0.831043956,0.982256441,0.905507215,27.35929179,0.158597708
butterfly1,VGG_NO_LEARN_TOMER,2,,0.861111111,0.812929293,0.035287592,0.873232323,0.97817308,0.925098432,14.4830122,0.373241901
butterfly1,VGG_NO_LEARN_TOMER,3,,0.777777778,0.782142857,0.056157635,0.797272727,0.975307882,0.89178114,16.53418875,0.184884071
butterfly1,VGG_NO_LEARN_TOMER,4,,0.972222222,0.96,0.007142857,0.977777778,0.996526498,0.984667659,37.42614985,0.164339304
butterfly1,VGG_NO_LEARN_TOMER,5,,0.769230769,0.75,0.075,0,0.984375,0.94709747,147.530057,0.192870855
butterfly1,VGG_NO_LEARN_TOMER,6,,0.805555556,0.815079365,0.048325123,0.816666667,0.964972886,0.879986218,32.052351,0.400312662
butterfly1,VGG_NO_LEARN_TOMER,7,,0.888888889,0.898412698,0.028056873,0.878246753,0.984710086,0.952594385,32.16860557,0.163053036
butterfly1,VGG_NO_LEARN_TOMER,8,,0.805555556,0.842222222,0.047192354,0.824206349,0.978239235,0.910756682,24.87204766,0.191677809
butterfly1,VGG_NO_LEARN_TOMER,9,,0.888888889,0.883333333,0.02625139,0.9,0.985017281,0.947400706,33.28693128,0.307482243
butterfly1,VGG_NO_LEARN_TOMER,10,,0.777777778,0.772619048,0.05546798,0.788571429,0.931860974,0.80176745,26.91794825,0.226256371
