Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_2,VGG_NO_LEARN_TOMER,1,,0.770833333,0.731818182,0.055484509,0.741538462,0.958526368,0.835956309,21.74280643,0.203244925
cifar_2,VGG_NO_LEARN_TOMER,2,,0.770833333,0.779242979,0.057186337,0.762857143,0.952462774,0.853250742,23.84641671,0.185512543
cifar_2,VGG_NO_LEARN_TOMER,3,,0.729166667,0.733953824,0.069222406,0.714285714,0.927408988,0.794811158,24.01793981,0.18888402
cifar_2,VGG_NO_LEARN_TOMER,4,,0.625,0.571565657,0.093893506,0.569426129,0.898474514,0.720068163,34.35568643,0.185330868
cifar_2,VGG_NO_LEARN_TOMER,5,,0.770833333,0.819316239,0.056573485,0.794893162,0.970013495,0.920563732,19.62711,0.187339067
cifar_2,VGG_NO_LEARN_TOMER,6,,0.708333333,0.756480186,0.070256841,0.713076923,0.959951176,0.868910408,19.57307076,0.183002472
cifar_2,VGG_NO_LEARN_TOMER,7,,0.75,0.761693862,0.064682705,0.78974359,0.96963089,0.917998655,17.44950938,0.189076185
cifar_2,VGG_NO_LEARN_TOMER,8,,0.6875,0.74952381,0.076735956,0.735075758,0.904152812,0.754039588,13.25579429,0.188055515
cifar_2,VGG_NO_LEARN_TOMER,9,,0.729166667,0.74,0.068496898,0.72965368,0.942461999,0.800043285,21.65364933,0.181248188
cifar_2,VGG_NO_LEARN_TOMER,10,,0.833333333,0.838461538,0.04234625,0.847482517,0.946835277,0.873840474,23.78524232,0.184018612
