Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly2,VGG_NO_LEARN_TOMER,1,,0.964285714,0.964285714,0.0125,0.972222222,0.996598639,0.99156746,23.94891548,0.166674137
butterfly2,VGG_NO_LEARN_TOMER,2,,0.785714286,0.822916667,0.068493863,0.808035714,0.94883933,0.891975913,28.82129955,0.16603756
butterfly2,VGG_NO_LEARN_TOMER,3,,0.892857143,0.819444444,0.035273279,0.822222222,0.987882366,0.933122896,22.15647101,0.146995306
butterfly2,VGG_NO_LEARN_TOMER,4,,0.821428571,0.805555556,0.060947824,0.81875,0.978568581,0.947911155,28.62540627,0.227492332
butterfly2,VGG_NO_LEARN_TOMER,5,,0.857142857,0.866071429,0.045548654,0.857142857,0.980819284,0.953042255,17.86176801,0.13464427
butterfly2,VGG_NO_LEARN_TOMER,6,,0.857142857,0.904040404,0.037037037,0.8,0.995864215,0.992918452,30.8337338,0.201759577
butterfly2,VGG_NO_LEARN_TOMER,7,,0.928571429,0.928571429,0.024404762,0.936507937,0.964285714,0.963068747,43.33367991,0.142959595
butterfly2,VGG_NO_LEARN_TOMER,8,,0.857142857,0.866666667,0.045454545,0.875,0.976893939,0.95538295,26.83055639,0.127921581
butterfly2,VGG_NO_LEARN_TOMER,9,,0.821428571,0.802083333,0.060227273,0.81875,0.976373106,0.915953621,19.4329772,0.131040335
butterfly2,VGG_NO_LEARN_TOMER,10,,0.785714286,0.766071429,0.070548654,0.778571429,0.942981921,0.868462142,41.38462949,0.257482052
