Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_5,VGG_NO_LEARN_TOMER,1,,0.895833333,0.85991342,0.024483996,0.848484848,0.978531601,0.919178363,28.41594338,0.208643913
cifar_5,VGG_NO_LEARN_TOMER,2,,0.854166667,0.813186813,0.037265255,0.841282051,0.984052012,0.928076521,28.26036978,0.198860645
cifar_5,VGG_NO_LEARN_TOMER,3,,0.791666667,0.787857143,0.052390852,0.866666667,0.955331209,0.894807557,32.60835004,0.251581669
cifar_5,VGG_NO_LEARN_TOMER,4,,0.875,0.872777778,0.030824905,0.868131868,0.982729757,0.946069081,21.73155642,0.333780766
cifar_5,VGG_NO_LEARN_TOMER,5,,0.8125,0.829230769,0.047130647,0.812564103,0.992668852,0.979212104,52.43882537,0.305285215
cifar_5,VGG_NO_LEARN_TOMER,6,,0.9375,0.952564103,0.016366366,0.952564103,0.980699286,0.963408726,48.76346183,0.203409672
cifar_5,VGG_NO_LEARN_TOMER,7,,0.979166667,0.984615385,0.005128205,0.98,1,1,46.17590642,0.236459017
cifar_5,VGG_NO_LEARN_TOMER,8,,0.9375,0.955151515,0.015931721,0.948484848,0.995872236,0.99275226,28.23857236,0.444220781
cifar_5,VGG_NO_LEARN_TOMER,9,,0.854166667,0.848888889,0.036787706,0.858008658,0.964271272,0.915328173,24.80766463,0.204025269
cifar_5,VGG_NO_LEARN_TOMER,10,,0.791666667,0.772008547,0.053376711,0.777373737,0.940431635,0.854274679,18.80543447,0.294698238
