Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_3,VGG_NO_LEARN_TOMER,1,,0.625,0.664199134,0.094186426,0.645833333,0.916214112,0.799539073,11.23795629,0.189696074
cifar_3,VGG_NO_LEARN_TOMER,2,,0.75,0.785958486,0.060819262,0.786538462,0.93371775,0.810672131,24.21217179,0.1916852
cifar_3,VGG_NO_LEARN_TOMER,3,,0.8125,0.801756854,0.047329729,0.820328283,0.912265461,0.766315662,21.77828574,0.185360909
cifar_3,VGG_NO_LEARN_TOMER,4,,0.583333333,0.593131313,0.103465443,0.509768908,0.895099432,0.71437611,11.35067058,0.187471151
cifar_3,VGG_NO_LEARN_TOMER,5,,0.75,0.781025641,0.063040936,0.772556391,0.921651136,0.781614588,18.29407501,0.183769226
cifar_3,VGG_NO_LEARN_TOMER,6,,0.5625,0.629067599,0.099641947,0.657222222,0.914707013,0.805448386,23.45406914,0.201485395
cifar_3,VGG_NO_LEARN_TOMER,7,,0.625,0.65975136,0.091674092,0.665097125,0.924087104,0.802657185,29.55525613,0.367613077
cifar_3,VGG_NO_LEARN_TOMER,8,,0.6875,0.727272727,0.0760841,0.688131313,0.90524285,0.735610397,34.74395084,0.18658185
cifar_3,VGG_NO_LEARN_TOMER,9,,0.666666667,0.66,0.08455157,0.683123249,0.932465756,0.789886273,15.45167303,0.184277058
cifar_3,VGG_NO_LEARN_TOMER,10,,0.604166667,0.632863248,0.098248506,0.721190476,0.912660765,0.783680665,9.13997364,0.189450979
