Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fruits2New,VGG_Ido,1,,0.996212121,0.997222222,0.000195313,0.994444444,1,1,39.22800326,1.592988968
fruits2New,VGG_Ido,2,,0.996212121,0.996666667,0.000197628,0.995833333,1,1,38.30862308,1.426468134
fruits2New,VGG_Ido,3,,0.958333333,0.959737284,0.002213033,0.969464286,0.999912144,0.998774671,32.41999722,1.499243021
fruits2New,VGG_Ido,4,,0.96969697,0.980803571,0.001595409,0.971443191,0.999747613,0.997715776,32.43599653,1.150839806
fruits2New,VGG_Ido,5,,0.977272727,0.98125,0.001192961,0.980128205,1,1,30.61347747,1.356081009
fruits2New,VGG_Ido,6,,0.988636364,0.985353535,0.000598463,0.989180036,1,1,31.23334646,0.99894166
fruits2New,VGG_Ido,7,,0.977272727,0.981458333,0.001201716,0.981812865,0.999902495,0.998383864,31.22359943,0.99077487
fruits2New,VGG_Ido,8,,0.954545455,0.964696668,0.002360076,0.9625,0.999942857,0.999183007,30.85892844,1.259889126
fruits2New,VGG_Ido,9,,0.973484848,0.972415966,0.001373339,0.972077922,0.999975586,0.999262153,33.72294259,1.234165192
fruits2New,VGG_Ido,10,,0.984848485,0.985199849,0.000800151,0.986549708,0.999950384,0.998904718,33.18166184,1.167850018
