Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_8,VGG_NO_LEARN_TOMER,1,,0.625,0.66974026,0.09613698,0.626315789,0.921991986,0.759628541,31.55469108,0.24941206
cifar_8,VGG_NO_LEARN_TOMER,2,,0.645833333,0.678021978,0.089500581,0.667099567,0.896572858,0.706631349,38.19030643,0.197310686
cifar_8,VGG_NO_LEARN_TOMER,3,,0.645833333,0.679401154,0.086873929,0.68023088,0.92641118,0.771160018,18.42621017,0.214608908
cifar_8,VGG_NO_LEARN_TOMER,4,,0.604166667,0.604747475,0.099018195,0.636666667,0.876034315,0.670581776,21.97368455,0.20007658
cifar_8,VGG_NO_LEARN_TOMER,5,,0.729166667,0.74974359,0.071076409,0.739685315,0.951741533,0.872742011,32.04083967,0.239947557
cifar_8,VGG_NO_LEARN_TOMER,6,,0.6875,0.65983683,0.075678051,0.647763348,0.915814318,0.771229703,53.25468683,0.214332581
cifar_8,VGG_NO_LEARN_TOMER,7,,0.729166667,0.771095571,0.068026928,0.742034632,0.938958059,0.836038428,38.37319493,0.344738722
cifar_8,VGG_NO_LEARN_TOMER,8,,0.625,0.652640693,0.087789264,0.670634921,0.93940835,0.81055423,37.91686821,0.489877462
cifar_8,VGG_NO_LEARN_TOMER,9,,0.770833333,0.734444444,0.058474825,0.755454545,0.924568604,0.736890113,38.1306622,0.208858728
cifar_8,VGG_NO_LEARN_TOMER,10,,0.791666667,0.806623932,0.053376711,0.80952381,0.947007784,0.874286101,31.14437866,0.204416513
