Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_1,VGG_NO_LEARN_TOMER,1,,0.5625,0.514502165,0.107577089,0.547222222,0.833645696,0.6197277,24.17600203,0.185324907
cifar_1,VGG_NO_LEARN_TOMER,2,,0.770833333,0.778266178,0.05661872,0.793333333,0.924163292,0.748688151,28.01424456,0.187883377
cifar_1,VGG_NO_LEARN_TOMER,3,,0.625,0.623264791,0.088589253,0.64,0.906099011,0.703018959,21.56185317,0.190721273
cifar_1,VGG_NO_LEARN_TOMER,4,,0.625,0.620151515,0.088768554,0.728484848,0.918106151,0.71756206,21.59282279,0.185374022
cifar_1,VGG_NO_LEARN_TOMER,5,,0.645833333,0.652820513,0.088687102,0.632261905,0.917589701,0.753341931,17.48402953,0.182255745
cifar_1,VGG_NO_LEARN_TOMER,6,,0.583333333,0.658741259,0.104264323,0.601428571,0.877235101,0.740477607,15.64102077,0.184450626
cifar_1,VGG_NO_LEARN_TOMER,7,,0.5625,0.571095571,0.108173448,0.597908497,0.893142653,0.661394099,25.66417313,0.182262897
cifar_1,VGG_NO_LEARN_TOMER,8,,0.625,0.588311688,0.093995827,0.577857143,0.874749991,0.612460638,25.64802027,0.188355446
cifar_1,VGG_NO_LEARN_TOMER,9,,0.604166667,0.63,0.10454341,0.584969697,0.916436872,0.742472597,17.37463236,0.189237833
cifar_1,VGG_NO_LEARN_TOMER,10,,0.6875,0.657393162,0.077609408,0.654920635,0.908436717,0.721170044,28.16236353,0.185577631
